"Município";"Óbitos p/Residênc"
"110001 Alta Floresta D'Oeste";5
"110037 Alto Alegre dos Parecis";1
"110040 Alto Paraíso";2
"110034 Alvorada D'Oeste";5
"110002 Ariquemes";27
"110045 Buritis";5
"110003 Cabixi";1
"110060 Cacaulândia";1
"110004 Cacoal";9
"110070 Campo Novo de Rondônia";2
"110080 Candeias do Jamari";10
"110005 Cerejeiras";6
"110092 Chupinguaia";1
"110006 Colorado do Oeste";3
"110007 Corumbiara";1
"110008 Costa Marques";1
"110094 Cujubim";7
"110009 Espigão D'Oeste";7
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";3
"110110 Itapuã do Oeste";1
"110011 Jaru";15
"110012 Ji-Paraná";27
"110013 Machadinho D'Oeste";5
"110130 Mirante da Serra";2
"110140 Monte Negro";11
"110014 Nova Brasilândia D'Oeste";2
"110033 Nova Mamoré";3
"110143 Nova União";3
"110050 Novo Horizonte do Oeste";1
"110015 Ouro Preto do Oeste";9
"110145 Parecis";2
"110018 Pimenta Bueno";8
"110020 Porto Velho";168
"110025 Presidente Médici";6
"110147 Primavera de Rondônia";1
"110026 Rio Crespo";3
"110028 Rolim de Moura";14
"110029 Santa Luzia D'Oeste";3
"110148 São Felipe D'Oeste";1
"110149 São Francisco do Guaporé";1
"110032 São Miguel do Guaporé";5
"110150 Seringueiras";2
"110155 Teixeirópolis";2
"110160 Theobroma";4
"110170 Urupá";3
"110175 Vale do Anari";4
"110180 Vale do Paraíso";4
"110030 Vilhena";40
"110000 Município ignorado - RO";8
"120001 Acrelândia";1
"120010 Brasiléia";11
"120013 Bujari";8
"120017 Capixaba";2
"120020 Cruzeiro do Sul";17
"120025 Epitaciolândia";6
"120030 Feijó";14
"120033 Mâncio Lima";4
"120034 Manoel Urbano";5
"120038 Plácido de Castro";4
"120080 Porto Acre";9
"120039 Porto Walter";1
"120040 Rio Branco";178
"120042 Rodrigues Alves";3
"120043 Santa Rosa do Purus";1
"120050 Sena Madureira";8
"120045 Senador Guiomard";4
"120060 Tarauacá";14
"120070 Xapuri";5
"120000 Município ignorado - AC";9
"130002 Alvarães";1
"130008 Anamã";1
"130010 Anori";1
"130014 Apuí";8
"130020 Atalaia do Norte";1
"130030 Autazes";10
"130040 Barcelos";5
"130050 Barreirinha";5
"130060 Benjamin Constant";11
"130063 Beruri";3
"130068 Boa Vista do Ramos";6
"130070 Boca do Acre";13
"130080 Borba";9
"130083 Caapiranga";1
"130090 Canutama";2
"130100 Carauari";5
"130110 Careiro";7
"130115 Careiro da Várzea";5
"130120 Coari";67
"130130 Codajás";3
"130140 Eirunepé";13
"130150 Envira";7
"130160 Fonte Boa";9
"130165 Guajará";1
"130170 Humaitá";16
"130180 Ipixuna";1
"130185 Iranduba";11
"130190 Itacoatiara";28
"130195 Itamarati";2
"130200 Itapiranga";1
"130220 Juruá";2
"130230 Jutaí";4
"130240 Lábrea";16
"130250 Manacapuru";19
"130255 Manaquiri";1
"130260 Manaus";815
"130270 Manicoré";7
"130280 Maraã";2
"130290 Maués";21
"130310 Nova Olinda do Norte";14
"130320 Novo Airão";2
"130330 Novo Aripuanã";5
"130340 Parintins";16
"130350 Pauini";8
"130353 Presidente Figueiredo";16
"130356 Rio Preto da Eva";7
"130360 Santa Isabel do Rio Negro";3
"130380 São Gabriel da Cachoeira";13
"130390 São Paulo de Olivença";2
"130406 Tabatinga";64
"130410 Tapauá";5
"130420 Tefé";19
"130423 Tonantins";1
"130426 Uarini";2
"130430 Urucará";3
"130440 Urucurituba";1
"130000 Município ignorado - AM";5
"140005 Alto Alegre";22
"140002 Amajari";5
"140010 Boa Vista";151
"140015 Bonfim";4
"140017 Cantá";11
"140020 Caracaraí";20
"140023 Caroebe";3
"140028 Iracema";5
"140030 Mucajaí";4
"140040 Normandia";1
"140045 Pacaraima";4
"140047 Rorainópolis";3
"140050 São João da Baliza";1
"140060 São Luiz";1
"140070 Uiramutã";1
"150010 Abaetetuba";36
"150013 Abel Figueiredo";4
"150020 Acará";29
"150030 Afuá";7
"150034 Água Azul do Norte";6
"150040 Alenquer";3
"150050 Almeirim";11
"150060 Altamira";68
"150070 Anajás";3
"150080 Ananindeua";141
"150085 Anapu";25
"150090 Augusto Corrêa";4
"150095 Aurora do Pará";14
"150100 Aveiro";3
"150110 Bagre";6
"150120 Baião";9
"150125 Bannach";3
"150130 Barcarena";58
"150140 Belém";419
"150145 Belterra";3
"150150 Benevides";17
"150157 Bom Jesus do Tocantins";5
"150160 Bonito";2
"150170 Bragança";32
"150172 Brasil Novo";9
"150175 Brejo Grande do Araguaia";1
"150178 Breu Branco";15
"150180 Breves";21
"150190 Bujaru";17
"150200 Cachoeira do Arari";3
"150195 Cachoeira do Piriá";4
"150210 Cametá";23
"150215 Canaã dos Carajás";28
"150220 Capanema";28
"150230 Capitão Poço";30
"150240 Castanhal";75
"150260 Colares";4
"150270 Conceição do Araguaia";9
"150275 Concórdia do Pará";13
"150276 Cumaru do Norte";7
"150277 Curionópolis";12
"150280 Curralinho";3
"150290 Curuçá";20
"150293 Dom Eliseu";18
"150295 Eldorado do Carajás";14
"150304 Floresta do Araguaia";30
"150307 Garrafão do Norte";4
"150309 Goianésia do Pará";13
"150310 Gurupá";2
"150320 Igarapé-Açu";11
"150330 Igarapé-Miri";16
"150340 Inhangapi";4
"150345 Ipixuna do Pará";20
"150350 Irituia";2
"150360 Itaituba";51
"150370 Itupiranga";22
"150375 Jacareacanga";13
"150380 Jacundá";21
"150390 Juruti";3
"150405 Mãe do Rio";29
"150410 Magalhães Barata";1
"150420 Marabá";112
"150430 Maracanã";2
"150440 Marapanim";6
"150442 Marituba";49
"150445 Medicilândia";12
"150450 Melgaço";3
"150460 Mocajuba";20
"150470 Moju";32
"150475 Mojuí dos Campos";3
"150480 Monte Alegre";7
"150490 Muaná";1
"150495 Nova Esperança do Piriá";11
"150500 Nova Timboteua";5
"150503 Novo Progresso";24
"150506 Novo Repartimento";27
"150510 Óbidos";9
"150520 Oeiras do Pará";3
"150530 Oriximiná";14
"150540 Ourém";10
"150543 Ourilândia do Norte";24
"150548 Pacajá";24
"150549 Palestina do Pará";5
"150550 Paragominas";63
"150553 Parauapebas";100
"150555 Pau D'Arco";1
"150560 Peixe-Boi";2
"150563 Piçarra";2
"150565 Placas";3
"150570 Ponta de Pedras";1
"150580 Portel";21
"150590 Porto de Moz";4
"150600 Prainha";1
"150610 Primavera";5
"150611 Quatipuru";8
"150613 Redenção";54
"150616 Rio Maria";6
"150618 Rondon do Pará";20
"150619 Rurópolis";2
"150620 Salinópolis";20
"150630 Salvaterra";5
"150635 Santa Bárbara do Pará";11
"150640 Santa Cruz do Arari";2
"150650 Santa Izabel do Pará";21
"150655 Santa Luzia do Pará";5
"150658 Santa Maria das Barreiras";9
"150660 Santa Maria do Pará";4
"150670 Santana do Araguaia";19
"150680 Santarém";50
"150690 Santarém Novo";3
"150700 Santo Antônio do Tauá";7
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";7
"150720 São Domingos do Capim";10
"150730 São Félix do Xingu";43
"150740 São Francisco do Pará";8
"150745 São Geraldo do Araguaia";8
"150746 São João da Ponta";1
"150747 São João de Pirabas";9
"150750 São João do Araguaia";3
"150760 São Miguel do Guamá";19
"150770 São Sebastião da Boa Vista";4
"150775 Sapucaia";2
"150780 Senador José Porfírio";7
"150790 Soure";9
"150795 Tailândia";48
"150796 Terra Alta";4
"150797 Terra Santa";1
"150800 Tomé-Açu";46
"150803 Tracuateua";11
"150805 Trairão";6
"150808 Tucumã";15
"150810 Tucuruí";42
"150812 Ulianópolis";9
"150815 Uruará";22
"150820 Vigia";25
"150830 Viseu";6
"150835 Vitória do Xingu";5
"150840 Xinguara";17
"150000 Município ignorado - PA";29
"160010 Amapá";3
"160020 Calçoene";2
"160021 Cutias";1
"160023 Ferreira Gomes";3
"160025 Itaubal";1
"160027 Laranjal do Jari";18
"160030 Macapá";212
"160040 Mazagão";2
"160050 Oiapoque";11
"160015 Pedra Branca do Amapari";2
"160053 Porto Grande";7
"160055 Pracuúba";3
"160060 Santana";46
"160070 Tartarugalzinho";4
"160080 Vitória do Jari";3
"170025 Abreulândia";1
"170035 Aliança do Tocantins";3
"170040 Almas";5
"170070 Alvorada";3
"170130 Aragominas";2
"170190 Araguacema";1
"170200 Araguaçu";3
"170210 Araguaína";55
"170215 Araguanã";2
"170220 Araguatins";7
"170230 Arapoema";1
"170240 Arraias";1
"170255 Augustinópolis";4
"170290 Axixá do Tocantins";3
"170300 Babaçulândia";3
"170305 Bandeirantes do Tocantins";1
"170307 Barra do Ouro";1
"170310 Barrolândia";1
"170330 Bom Jesus do Tocantins";3
"170370 Brejinho de Nazaré";2
"170380 Buriti do Tocantins";3
"170384 Campos Lindos";4
"170386 Cariri do Tocantins";2
"170389 Carrasco Bonito";2
"170390 Caseara";2
"170510 Chapada da Natividade";1
"170550 Colinas do Tocantins";14
"171670 Colméia";2
"170560 Conceição do Tocantins";2
"170600 Couto Magalhães";1
"170610 Cristalândia";5
"170625 Crixás do Tocantins";2
"170650 Darcinópolis";3
"170700 Dianópolis";6
"170710 Divinópolis do Tocantins";1
"170720 Dois Irmãos do Tocantins";1
"170730 Dueré";1
"170740 Esperantina";2
"170765 Figueirópolis";3
"170770 Filadélfia";3
"170820 Formoso do Araguaia";7
"170825 Fortaleza do Tabocão";2
"170830 Goianorte";1
"170900 Goiatins";4
"170930 Guaraí";6
"170950 Gurupi";32
"171050 Itacajá";2
"171090 Itapiratins";1
"171190 Lagoa da Confusão";1
"171195 Lagoa do Tocantins";2
"171200 Lajeado";3
"171240 Lizarda";1
"171250 Marianópolis do Tocantins";1
"171270 Mateiros";1
"171320 Miracema do Tocantins";8
"171330 Miranorte";3
"171395 Muricilândia";1
"171420 Natividade";6
"171488 Nova Olinda";2
"171500 Nova Rosalândia";2
"172100 Palmas";102
"171570 Palmeirante";2
"171380 Palmeiras do Tocantins";2
"171575 Palmeirópolis";2
"171610 Paraíso do Tocantins";14
"171620 Paranã";2
"171630 Pau D'Arco";2
"171650 Pedro Afonso";2
"171660 Peixe";3
"171665 Pequizeiro";1
"171720 Piraquê";1
"171750 Pium";2
"171790 Ponte Alta do Tocantins";4
"171800 Porto Alegre do Tocantins";1
"171820 Porto Nacional";31
"171830 Praia Norte";3
"171840 Presidente Kennedy";3
"171845 Pugmil";1
"171850 Recursolândia";1
"171855 Riachinho";1
"171865 Rio da Conceição";2
"171870 Rio dos Bois";1
"171880 Sampaio";3
"171884 Sandolândia";3
"171886 Santa Fé do Araguaia";1
"171889 Santa Rita do Tocantins";1
"172010 São Bento do Tocantins";4
"172015 São Félix do Tocantins";1
"172020 São Miguel do Tocantins";1
"172025 São Salvador do Tocantins";2
"172049 São Valério";2
"172065 Silvanópolis";2
"172080 Sítio Novo do Tocantins";1
"172090 Taguatinga";6
"172097 Talismã";1
"172120 Tocantinópolis";8
"172130 Tupiratins";1
"172208 Wanderlândia";2
"172210 Xambioá";5
"170000 Município ignorado - TO";3
"210005 Açailândia";66
"210015 Água Doce do Maranhão";1
"210030 Aldeias Altas";4
"210040 Altamira do Maranhão";1
"210043 Alto Alegre do Maranhão";13
"210047 Alto Alegre do Pindaré";3
"210050 Alto Parnaíba";1
"210055 Amapá do Maranhão";2
"210060 Amarante do Maranhão";16
"210070 Anajatuba";2
"210083 Apicum-Açu";4
"210087 Araguanã";1
"210090 Araioses";1
"210095 Arame";5
"210100 Arari";10
"210110 Axixá";3
"210120 Bacabal";37
"210125 Bacabeira";13
"210130 Bacuri";11
"210135 Bacurituba";1
"210140 Balsas";64
"210150 Barão de Grajaú";1
"210160 Barra do Corda";11
"210170 Barreirinhas";7
"210177 Bela Vista do Maranhão";2
"210190 Bequimão";5
"210193 Bernardo do Mearim";2
"210197 Boa Vista do Gurupi";3
"210200 Bom Jardim";12
"210203 Bom Jesus das Selvas";17
"210210 Brejo";5
"210215 Brejo de Areia";4
"210220 Buriti";4
"210230 Buriti Bravo";3
"210232 Buriticupu";20
"210235 Buritirana";3
"210240 Cajapió";2
"210250 Cajari";7
"210255 Campestre do Maranhão";5
"210260 Cândido Mendes";3
"210275 Capinzal do Norte";2
"210280 Carolina";7
"210290 Carutapera";1
"210300 Caxias";81
"210310 Cedral";2
"210312 Central do Maranhão";8
"210315 Centro do Guilherme";1
"210317 Centro Novo do Maranhão";4
"210320 Chapadinha";17
"210325 Cidelândia";5
"210330 Codó";58
"210340 Coelho Neto";17
"210350 Colinas";17
"210355 Conceição do Lago-Açu";5
"210360 Coroatá";15
"210370 Cururupu";16
"210375 Davinópolis";12
"210380 Dom Pedro";6
"210390 Duque Bacelar";2
"210400 Esperantinópolis";4
"210405 Estreito";12
"210407 Feira Nova do Maranhão";1
"210409 Formosa da Serra Negra";3
"210410 Fortaleza dos Nogueiras";1
"210420 Fortuna";1
"210430 Godofredo Viana";2
"210450 Governador Archer";1
"210455 Governador Edison Lobão";7
"210460 Governador Eugênio Barros";1
"210462 Governador Luiz Rocha";2
"210465 Governador Newton Bello";1
"210467 Governador Nunes Freire";8
"210480 Grajaú";43
"210490 Guimarães";5
"210500 Humberto de Campos";5
"210510 Icatu";5
"210515 Igarapé do Meio";3
"210520 Igarapé Grande";5
"210530 Imperatriz";127
"210540 Itapecuru Mirim";14
"210542 Itinga do Maranhão";19
"210545 Jatobá";1
"210547 Jenipapo dos Vieiras";1
"210550 João Lisboa";13
"210560 Joselândia";3
"210565 Junco do Maranhão";2
"210570 Lago da Pedra";24
"210580 Lago do Junco";2
"210594 Lago dos Rodrigues";3
"210590 Lago Verde";3
"210592 Lagoa do Mato";2
"210600 Lima Campos";2
"210620 Luís Domingues";2
"210630 Magalhães de Almeida";1
"210632 Maracaçumé";7
"210635 Marajá do Sena";1
"210637 Maranhãozinho";2
"210640 Mata Roma";2
"210650 Matinha";6
"210660 Matões";5
"210663 Matões do Norte";2
"210670 Mirador";2
"210675 Miranda do Norte";3
"210680 Mirinzal";2
"210690 Monção";1
"210700 Montes Altos";1
"210710 Morros";1
"210720 Nina Rodrigues";1
"210725 Nova Colinas";2
"210730 Nova Iorque";1
"210735 Nova Olinda do Maranhão";5
"210740 Olho d'Água das Cunhãs";4
"210745 Olinda Nova do Maranhão";4
"210750 Paço do Lumiar";21
"210760 Palmeirândia";5
"210770 Paraibano";3
"210780 Parnarama";5
"210790 Passagem Franca";4
"210800 Pastos Bons";7
"210805 Paulino Neves";1
"210810 Paulo Ramos";8
"210820 Pedreiras";8
"210825 Pedro do Rosário";12
"210830 Penalva";12
"210840 Peri Mirim";3
"210845 Peritoró";3
"210850 Pindaré-Mirim";13
"210860 Pinheiro";39
"210870 Pio XII";5
"210880 Pirapemas";2
"210890 Poção de Pedras";4
"210900 Porto Franco";8
"210905 Porto Rico do Maranhão";2
"210910 Presidente Dutra";10
"210920 Presidente Juscelino";2
"210927 Presidente Sarney";6
"210930 Presidente Vargas";2
"210940 Primeira Cruz";1
"210945 Raposa";2
"210950 Riachão";3
"210960 Rosário";15
"210975 Santa Filomena do Maranhão";1
"210980 Santa Helena";8
"210990 Santa Inês";53
"211000 Santa Luzia";26
"211003 Santa Luzia do Paruá";6
"211010 Santa Quitéria do Maranhão";8
"211020 Santa Rita";12
"211023 Santana do Maranhão";2
"211030 Santo Antônio dos Lopes";4
"211040 São Benedito do Rio Preto";3
"211050 São Bento";4
"211060 São Bernardo";3
"211070 São Domingos do Maranhão";20
"211085 São Francisco do Brejão";8
"211090 São Francisco do Maranhão";2
"211100 São João Batista";3
"211102 São João do Carú";1
"211105 São João do Paraíso";2
"211107 São João do Soter";7
"211110 São João dos Patos";3
"211120 São José de Ribamar";73
"211130 São Luís";306
"211140 São Luís Gonzaga do Maranhão";4
"211150 São Mateus do Maranhão";20
"211153 São Pedro da Água Branca";8
"211157 São Pedro dos Crentes";1
"211160 São Raimundo das Mangabeiras";5
"211170 São Vicente Ferrer";3
"211174 Senador Alexandre Costa";1
"211176 Senador La Rocque";6
"211178 Serrano do Maranhão";1
"211180 Sítio Novo";2
"211190 Sucupira do Norte";2
"211195 Sucupira do Riachão";1
"211200 Tasso Fragoso";1
"211210 Timbiras";1
"211220 Timon";109
"211223 Trizidela do Vale";6
"211227 Tufilândia";1
"211230 Tuntum";11
"211240 Turiaçu";7
"211245 Turilândia";12
"211260 Urbano Santos";1
"211270 Vargem Grande";12
"211280 Viana";29
"211285 Vila Nova dos Martírios";5
"211290 Vitória do Mearim";17
"211300 Vitorino Freire";9
"211400 Zé Doca";17
"210000 Município ignorado - MA";15
"220010 Agricolândia";1
"220020 Água Branca";2
"220025 Alagoinha do Piauí";1
"220027 Alegrete do Piauí";1
"220030 Alto Longá";4
"220040 Altos";9
"220045 Alvorada do Gurguéia";1
"220050 Amarante";1
"220110 Avelino Lopes";5
"220115 Baixa Grande do Ribeiro";1
"220120 Barras";4
"220150 Batalha";2
"220170 Bertolínia";1
"220190 Bom Jesus";4
"220198 Brejo do Piauí";3
"220200 Buriti dos Lopes";1
"220205 Cabeceiras do Piauí";1
"220208 Cajueiro da Praia";1
"220209 Caldeirão Grande do Piauí";2
"220213 Campo Grande do Piauí";1
"220220 Campo Maior";14
"220230 Canto do Buriti";6
"220240 Capitão de Campos";1
"220245 Capitão Gervásio Oliveira";1
"220250 Caracol";5
"220260 Castelo do Piauí";2
"220265 Caxingó";1
"220270 Cocal";1
"220275 Colônia do Gurguéia";2
"220280 Conceição do Canindé";1
"220290 Corrente";5
"220300 Cristalândia do Piauí";1
"220310 Cristino Castro";2
"220320 Curimatá";2
"220325 Curralinhos";2
"220330 Demerval Lobão";9
"220345 Dom Inocêncio";1
"220350 Elesbão Veloso";2
"220370 Esperantina";11
"220380 Flores do Piauí";1
"220385 Floresta do Piauí";1
"220390 Floriano";14
"220420 Francisco Santos";2
"220430 Fronteiras";6
"220460 Hugo Napoleão";1
"220490 Isaías Coelho";1
"220510 Itaueira";2
"220520 Jaicós";3
"220550 José de Freitas";6
"220552 Júlio Borges";1
"220554 Lagoinha do Piauí";1
"220560 Landri Sales";1
"220570 Luís Correia";6
"220580 Luzilândia";15
"220585 Madeiro";6
"220590 Manoel Emídio";1
"220595 Marcolândia";4
"220605 Massapê do Piauí";2
"220610 Matias Olímpio";3
"220620 Miguel Alves";4
"220650 Monsenhor Hipólito";2
"220665 Morro Cabeça no Tempo";1
"220667 Morro do Chapéu do Piauí";2
"220669 Murici dos Portelas";1
"220672 Nazária";2
"220680 Nossa Senhora dos Remédios";1
"220700 Oeiras";2
"220710 Olho D'Água do Piauí";1
"220720 Padre Marcos";5
"220735 Pajeú do Piauí";1
"220750 Palmeirais";2
"220760 Parnaguá";1
"220770 Parnaíba";35
"220777 Patos do Piauí";1
"220779 Pau D'Arco do Piauí";1
"220780 Paulistana";3
"220790 Pedro II";4
"220800 Picos";16
"220820 Pio IX";5
"220830 Piracuruca";5
"220840 Piripiri";8
"220850 Porto";2
"220870 Redenção do Gurguéia";2
"220880 Regeneração";3
"220887 Ribeira do Piauí";1
"220890 Ribeiro Gonçalves";2
"220900 Rio Grande do Piauí";1
"220910 Santa Cruz do Piauí";2
"220915 Santa Cruz dos Milagres";1
"220920 Santa Filomena";1
"220940 Santo Antônio de Lisboa";2
"220965 São Francisco de Assis do Piauí";1
"220970 São Francisco do Piauí";1
"220997 São João do Arraial";2
"221000 São João do Piauí";6
"221005 São José do Divino";1
"221030 São Julião";4
"221035 São Lourenço do Piauí";1
"221040 São Miguel do Tapuio";5
"221050 São Pedro do Piauí";3
"221060 São Raimundo Nonato";4
"221065 Sigefredo Pacheco";1
"221095 Tamboril do Piauí";1
"221100 Teresina";298
"221110 União";9
"221120 Uruçuí";1
"221130 Valença do Piauí";4
"221135 Várzea Branca";1
"221170 Wall Ferraz";1
"220000 Município ignorado - PI";17
"230010 Abaiara";1
"230015 Acarape";11
"230020 Acaraú";14
"230030 Acopiara";12
"230040 Aiuaba";2
"230050 Alcântaras";2
"230070 Alto Santo";13
"230075 Amontada";7
"230080 Antonina do Norte";2
"230090 Apuiarés";2
"230100 Aquiraz";75
"230110 Aracati";18
"230120 Aracoiaba";21
"230125 Ararendá";1
"230130 Araripe";5
"230140 Aratuba";3
"230150 Arneiroz";1
"230160 Assaré";3
"230185 Banabuiú";6
"230190 Barbalha";22
"230195 Barreira";11
"230200 Barro";2
"230205 Barroquinha";2
"230210 Baturité";14
"230220 Beberibe";19
"230230 Bela Cruz";3
"230240 Boa Viagem";10
"230250 Brejo Santo";7
"230260 Camocim";4
"230270 Campos Sales";23
"230280 Canindé";37
"230290 Capistrano";11
"230300 Caridade";13
"230310 Cariré";2
"230320 Caririaçu";5
"230330 Cariús";4
"230340 Carnaubal";1
"230350 Cascavel";66
"230360 Catarina";1
"230365 Catunda";1
"230370 Caucaia";299
"230380 Cedro";18
"230390 Chaval";1
"230393 Choró";7
"230395 Chorozinho";16
"230400 Coreaú";10
"230410 Crateús";10
"230420 Crato";52
"230423 Croatá";2
"230425 Cruz";7
"230426 Deputado Irapuan Pinheiro";1
"230427 Ererê";2
"230428 Eusébio";26
"230430 Farias Brito";3
