"Município";"Óbitos p/Residênc"
"317090 Varzelândia";1
"317100 Vazante";1
"317103 Verdelândia";1
"317120 Vespasiano";21
"317130 Viçosa";25
"317160 Virgem da Lapa";1
"317170 Virgínia";1
"317180 Virginópolis";2
"317190 Virgolândia";1
"317200 Visconde do Rio Branco";13
"310000 Município ignorado - MG";18
"320010 Afonso Cláudio";8
"320013 Águia Branca";3
"320020 Alegre";4
"320035 Alto Rio Novo";1
"320040 Anchieta";10
"320050 Apiacá";1
"320060 Aracruz";22
"320070 Atilio Vivacqua";2
"320080 Baixo Guandu";22
"320090 Barra de São Francisco";6
"320100 Boa Esperança";7
"320110 Bom Jesus do Norte";1
"320115 Brejetuba";7
"320120 Cachoeiro de Itapemirim";40
"320130 Cariacica";163
"320140 Castelo";2
"320150 Colatina";18
"320160 Conceição da Barra";24
"320170 Conceição do Castelo";5
"320190 Domingos Martins";2
"320200 Dores do Rio Preto";1
"320210 Ecoporanga";11
"320220 Fundão";6
"320225 Governador Lindenberg";1
"320230 Guaçuí";5
"320240 Guarapari";33
"320245 Ibatiba";14
"320250 Ibiraçu";1
"320255 Ibitirama";2
"320260 Iconha";4
"320265 Irupi";2
"320270 Itaguaçu";1
"320280 Itapemirim";5
"320290 Itarana";2
"320300 Iúna";3
"320305 Jaguaré";25
"320320 Linhares";77
"320330 Mantenópolis";7
"320332 Marataízes";5
"320334 Marechal Floriano";3
"320335 Marilândia";2
"320340 Mimoso do Sul";3
"320350 Montanha";3
"320360 Mucurici";1
"320370 Muniz Freire";1
"320380 Muqui";1
"320390 Nova Venécia";12
"320400 Pancas";4
"320405 Pedro Canário";19
"320410 Pinheiros";19
"320420 Piúma";4
"320425 Ponto Belo";1
"320430 Presidente Kennedy";3
"320440 Rio Novo do Sul";2
"320450 Santa Leopoldina";1
"320455 Santa Maria de Jetibá";2
"320460 Santa Teresa";4
"320465 São Domingos do Norte";1
"320470 São Gabriel da Palha";10
"320490 São Mateus";49
"320495 São Roque do Canaã";1
"320500 Serra";207
"320501 Sooretama";13
"320503 Vargem Alta";4
"320506 Venda Nova do Imigrante";3
"320510 Viana";25
"320515 Vila Pavão";5
"320517 Vila Valério";11
"320520 Vila Velha";156
"320530 Vitória";85
"320000 Município ignorado - ES";17
"330010 Angra dos Reis";85
"330015 Aperibé";2
"330020 Araruama";35
"330023 Armação dos Búzios";16
"330025 Arraial do Cabo";8
"330030 Barra do Piraí";28
"330040 Barra Mansa";47
"330045 Belford Roxo";163
"330050 Bom Jardim";5
"330060 Bom Jesus do Itabapoana";4
"330070 Cabo Frio";90
"330080 Cachoeiras de Macacu";15
"330100 Campos dos Goytacazes";147
"330110 Cantagalo";1
"330093 Carapebus";10
"330115 Cardoso Moreira";4
"330130 Casimiro de Abreu";18
"330140 Conceição de Macabu";11
"330150 Cordeiro";2
"330170 Duque de Caxias";265
"330180 Engenheiro Paulo de Frontin";1
"330185 Guapimirim";32
"330187 Iguaba Grande";10
"330190 Itaboraí";84
"330200 Itaguaí";36
"330205 Italva";4
"330210 Itaocara";3
"330220 Itaperuna";43
"330225 Itatiaia";13
"330227 Japeri";34
"330230 Laje do Muriaé";4
"330240 Macaé";131
"330245 Macuco";1
"330250 Magé";88
"330260 Mangaratiba";11
"330270 Maricá";49
"330280 Mendes";3
"330285 Mesquita";37
"330290 Miguel Pereira";10
"330300 Miracema";8
"330310 Natividade";3
"330320 Nilópolis";49
"330330 Niterói";92
"330340 Nova Friburgo";21
"330350 Nova Iguaçu";218
"330360 Paracambi";14
"330370 Paraíba do Sul";2
"330380 Paraty";23
"330385 Paty do Alferes";10
"330390 Petrópolis";28
"330395 Pinheiral";3
"330400 Piraí";2
"330410 Porciúncula";2
"330411 Porto Real";8
"330412 Quatis";3
"330414 Queimados";41
"330415 Quissamã";9
"330420 Resende";55
"330430 Rio Bonito";3
"330440 Rio Claro";4
"330452 Rio das Ostras";80
"330455 Rio de Janeiro";1004
"330460 Santa Maria Madalena";5
"330470 Santo Antônio de Pádua";14
"330480 São Fidélis";3
"330475 São Francisco de Itabapoana";19
"330490 São Gonçalo";367
"330500 São João da Barra";7
"330510 São João de Meriti";138
"330515 São José do Vale do Rio Preto";5
"330520 São Pedro da Aldeia";40
"330550 Saquarema";16
"330555 Seropédica";12
"330560 Silva Jardim";6
"330570 Sumidouro";1
"330575 Tanguá";5
"330580 Teresópolis";22
"330590 Trajano de Moraes";2
"330600 Três Rios";22
"330610 Valença";8
"330615 Varre-Sai";2
"330620 Vassouras";7
"330630 Volta Redonda";83
"330000 Município ignorado - RJ";221
"350020 Adolfo";1
"350030 Aguaí";1
"350050 Águas de Lindóia";2
"350055 Águas de Santa Bárbara";2
"350070 Agudos";4
"350090 Altair";1
"350115 Alumínio";3
"350130 Álvares Machado";4
"350160 Americana";18
"350170 Américo Brasiliense";3
"350190 Amparo";3
"350210 Andradina";4
"350220 Angatuba";1
"350250 Aparecida";2
"350270 Apiaí";1
"350275 Araçariguama";4
"350280 Araçatuba";36
"350290 Araçoiaba da Serra";1
"350300 Aramina";1
"350320 Araraquara";14
"350330 Araras";17
"350340 Arealva";1
"350350 Areias";1
"350360 Areiópolis";2
"350380 Artur Nogueira";4
"350390 Arujá";8
"350400 Assis";4
"350410 Atibaia";7
"350440 Avanhandava";1
"350450 Avaré";2
"350460 Bady Bassitt";3
"350470 Balbinos";1
"350500 Barão de Antonina";1
"350520 Bariri";4
"350530 Barra Bonita";1
"350540 Barra do Turvo";1
"350550 Barretos";8
"350560 Barrinha";3
"350570 Barueri";25
"350580 Bastos";2
"350590 Batatais";1
"350600 Bauru";37
"350610 Bebedouro";5
"350635 Bertioga";9
"350650 Birigui";19
"350660 Biritiba-Mirim";4
"350680 Bocaina";1
"350690 Bofete";1
"350700 Boituva";8
"350710 Bom Jesus dos Perdões";1
"350750 Botucatu";9
"350760 Bragança Paulista";10
"350775 Brejo Alegre";2
"350780 Brodowski";4
"350790 Brotas";2
"350800 Buri";2
"350810 Buritama";1
"350830 Cabrália Paulista";2
"350840 Cabreúva";4
"350850 Caçapava";24
"350860 Cachoeira Paulista";4
"350870 Caconde";1
"350900 Caieiras";2
"350920 Cajamar";7
"350925 Cajati";1
"350940 Cajuru";4
"350945 Campina do Monte Alegre";2
"350950 Campinas";154
"350960 Campo Limpo Paulista";9
"350970 Campos do Jordão";3
"351000 Cândido Mota";2
"351020 Capão Bonito";4
"351030 Capela do Alto";1
"351040 Capivari";2
"351050 Caraguatatuba";35
"351060 Carapicuíba";33
"351070 Cardoso";1
"351080 Casa Branca";5
"351100 Castilho";4
"351110 Catanduva";7
"351150 Cerquilho";1
"351160 Cesário Lange";4
"351170 Charqueada";7
"355720 Chavantes";4
"351200 Colina";2
"351220 Conchal";3
"351240 Cordeirópolis";1
"351280 Cosmópolis";11
"351290 Cosmorama";1
"351300 Cotia";28
"351310 Cravinhos";5
"351340 Cruzeiro";33
"351350 Cubatão";10
"351360 Cunha";4
"351380 Diadema";44
"351400 Dobrada";1
"351410 Dois Córregos";5
"351440 Dracena";1
"351460 Dumont";1
"351480 Eldorado";1
"351490 Elias Fausto";1
"351500 Embu das Artes";13
"351510 Embu-Guaçu";6
"351512 Emilianópolis";1
"351515 Engenheiro Coelho";2
"351518 Espírito Santo do Pinhal";3
"351519 Espírito Santo do Turvo";1
"355730 Estiva Gerbi";1
"351535 Euclides da Cunha Paulista";1
"351540 Fartura";1
"351550 Fernandópolis";3
"351570 Ferraz de Vasconcelos";23
"351620 Franca";22
"351630 Francisco Morato";19
"351640 Franco da Rocha";14
"351660 Gália";1
"351670 Garça";6
"351685 Gavião Peixoto";1
"351730 Guaimbê";1
"351740 Guaíra";1
"351760 Guapiara";2
"351770 Guará";1
"351780 Guaraçaí";1
"351790 Guaraci";2
"351820 Guararapes";6
"351830 Guararema";3
"351840 Guaratinguetá";28
"351860 Guariba";6
"351870 Guarujá";30
"351880 Guarulhos";111
"351905 Holambra";1
"351907 Hortolândia";30
"351910 Iacanga";1
"351925 Iaras";2
"351930 Ibaté";2
"351940 Ibirá";2
"351950 Ibirarema";2
"351960 Ibitinga";2
"351970 Ibiúna";8
"351990 Iepê";1
"352000 Igaraçu do Tietê";3
"352010 Igarapava";3
"352030 Iguape";4
"352040 Ilhabela";4
"352050 Indaiatuba";4
"352060 Indiana";1
"352090 Ipaussu";2
"352100 Iperó";5
"352110 Ipeúna";1
"352115 Ipiguá";1
"352130 Ipuã";3
"352140 Iracemápolis";1
"352170 Itaberá";1
"352180 Itaí";2
"352190 Itajobi";2
"352210 Itanhaém";10
"352220 Itapecerica da Serra";12
"352230 Itapetininga";11
"352240 Itapeva";5
"352250 Itapevi";19
"352260 Itapira";7
"352270 Itápolis";2
"352280 Itaporanga";4
"352290 Itapuí";1
"352310 Itaquaquecetuba";41
"352320 Itararé";2
"352330 Itariri";1
"352340 Itatiba";11
"352350 Itatinga";1
"352360 Itirapina";2
"352390 Itu";14
"352400 Itupeva";6
"352410 Ituverava";3
"352430 Jaboticabal";6
"352440 Jacareí";41
"352470 Jaguariúna";3
"352480 Jales";1
"352500 Jandira";13
"352510 Jardinópolis";3
"352520 Jarinu";5
"352530 Jaú";4
"352550 Joanópolis";1
"352570 José Bonifácio";5
"352580 Júlio Mesquita";2
"352590 Jundiaí";26
"352600 Junqueirópolis";3
"352610 Juquiá";2
"352630 Lagoinha";2
"352640 Laranjal Paulista";3
"352670 Leme";14
"352680 Lençóis Paulista";5
"352690 Limeira";17
"352710 Lins";9
"352720 Lorena";22
"352730 Louveira";2
"352760 Luís Antônio";1
"352800 Macatuba";1
"352820 Macedônia";1
"352840 Mairinque";2
"352850 Mairiporã";8
"352870 Marabá Paulista";1
"352900 Marília";18
"352920 Martinópolis";4
"352930 Matão";3
"352940 Mauá";30
"352970 Miguelópolis";3
"352990 Miracatu";4
"353010 Mirandópolis";4
"353020 Mirante do Paranapanema";1
"353030 Mirassol";2
"353050 Mococa";4
"353060 Mogi das Cruzes";21
"353070 Mogi Guaçu";14
"353080 Mogi Mirim";7
"353110 Mongaguá";3
"353130 Monte Alto";2
"353140 Monte Aprazível";1
"353180 Monte Mor";8
"353190 Morro Agudo";3
"353215 Nantes";1
"353230 Natividade da Serra";1
"353240 Nazaré Paulista";4
"353280 Nova Aliança";1
"353284 Nova Canaã Paulista";1
"353310 Nova Guataporanga";1
"353340 Nova Odessa";2
"353350 Novo Horizonte";5
"353370 Ocauçu";1
"353390 Olímpia";4
"353430 Orlândia";2
"353440 Osasco";75
"353460 Osvaldo Cruz";2
"353470 Ourinhos";7
"353510 Palmares Paulista";1
"353520 Palmeira d'Oeste";2
"353530 Palmital";1
"353540 Panorama";2
"353550 Paraguaçu Paulista";2
"353580 Paranapanema";1
"353600 Parapuã";1
"353630 Patrocínio Paulista";1
"353640 Paulicéia";1
"353650 Paulínia";1
"353670 Pederneiras";1
"353700 Pedregulho";1
"353710 Pedreira";2
"353720 Pedro de Toledo";2
"353730 Penápolis";4
"353740 Pereira Barreto";1
"353760 Peruíbe";13
"353770 Piacatu";1
"353780 Piedade";5
"353790 Pilar do Sul";4
"353800 Pindamonhangaba";20
"353820 Pinhalzinho";1
"353860 Piracaia";5
"353870 Piracicaba";27
"353880 Piraju";2
"353890 Pirajuí";1
"353900 Pirangi";5
"353910 Pirapora do Bom Jesus";4
"353920 Pirapozinho";3
"353930 Pirassununga";4
"353940 Piratininga";2
"353950 Pitangueiras";2
"353980 Poá";5
"353990 Poloni";1
"354020 Pontal";2
"354050 Porangaba";1
"354070 Porto Ferreira";4
"354075 Potim";3
"354080 Potirendaba";2
"354090 Pradópolis";2
"354100 Praia Grande";33
"354105 Pratânia";1
"354110 Presidente Alves";1
"354120 Presidente Bernardes";2
"354130 Presidente Epitácio";1
"354140 Presidente Prudente";24
"354160 Promissão";2
"354180 Queiroz";1
"354190 Queluz";1
"354210 Rafard";1
"354220 Rancharia";6
"354240 Regente Feijó";3
"354250 Reginópolis";1
"354260 Registro";1
"354270 Restinga";1
"354300 Ribeirão Branco";2
"354325 Ribeirão Grande";1
"354330 Ribeirão Pires";8
"354340 Ribeirão Preto";68
"354390 Rio Claro";23
"354400 Rio das Pedras";2
"354410 Rio Grande da Serra";1
"354420 Riolândia";2
"354425 Rosana";2
"354430 Roseira";1
"354440 Rubiácea";1
"354460 Sabino";3
"354500 Salesópolis";2
"354520 Salto";9
"354530 Salto de Pirapora";4
"354540 Salto Grande";1
"354560 Santa Adélia";2
"354580 Santa Bárbara d'Oeste";7
"354600 Santa Branca";1
"354630 Santa Cruz das Palmeiras";1
"354660 Santa Fé do Sul";1
"354670 Santa Gertrudes";3
"354680 Santa Isabel";7
"354690 Santa Lúcia";1
"354700 Santa Maria da Serra";1
"354750 Santa Rita do Passa Quatro";3
"354760 Santa Rosa de Viterbo";3
"354730 Santana de Parnaíba";6
"354770 Santo Anastácio";2
"354780 Santo André";60
"354790 Santo Antônio da Alegria";1
"354800 Santo Antônio de Posse";2
"354805 Santo Antônio do Aracanguá";1
"354830 Santo Expedito";2
"354840 Santópolis do Aguapeí";1
"354850 Santos";18
"354870 São Bernardo do Campo";62
"354880 São Caetano do Sul";3
"354890 São Carlos";20
"354900 São Francisco";1
"354910 São João da Boa Vista";5
"354940 São Joaquim da Barra";1
"354970 São José do Rio Pardo";4
"354980 São José do Rio Preto";43
"354990 São José dos Campos";63
"354995 São Lourenço da Serra";1
"355000 São Luís do Paraitinga";2
"355010 São Manuel";2
"355030 São Paulo";374
"355040 São Pedro";1
"355050 São Pedro do Turvo";2
"355060 São Roque";6
"355070 São Sebastião";9
"355080 São Sebastião da Grama";1
"355100 São Vicente";29
"355110 Sarapuí";3
"355150 Serrana";4
"355170 Sertãozinho";8
"355180 Sete Barras";3
"355190 Severínia";6
"355200 Silveiras";1
"355210 Socorro";7
"355220 Sorocaba";62
"355240 Sumaré";32
"355255 Suzanápolis";3
"355250 Suzano";28
"355260 Tabapuã";1
"355270 Tabatinga";2
"355280 Taboão da Serra";23
"355310 Taiaçu";1
"355330 Tambaú";3
"355340 Tanabi";3
"355350 Tapiraí";2
"355370 Taquaritinga";2
"355380 Taquarituba";1
"355385 Taquarivaí";1
"355400 Tatuí";10
"355410 Taubaté";16
"355430 Teodoro Sampaio";1
"355470 Torrinha";1
"355480 Tremembé";3
"355500 Tupã";3
"355540 Ubatuba";19
"355570 União Paulista";1
"355600 Urupês";1
"355620 Valinhos";5
"355630 Valparaíso";3
"355635 Vargem";1
"355640 Vargem Grande do Sul";3
"355645 Vargem Grande Paulista";6
"355650 Várzea Paulista";12
"355680 Viradouro";1
"355700 Votorantim";5
"355710 Votuporanga";3
"355715 Zacarias";1
"350000 Município ignorado - SP";77
"410010 Abatiá";1
"410030 Agudos do Sul";1
"410040 Almirante Tamandaré";36
"410060 Alto Paraná";6
"410070 Alto Piquiri";1
"410050 Altônia";8
"410080 Alvorada do Sul";4
"410090 Amaporã";2
"410100 Ampére";1
"410105 Anahy";1
"410115 Ângulo";1
"410120 Antonina";3
"410130 Antônio Olinto";1
"410140 Apucarana";9
"410150 Arapongas";16
"410160 Arapoti";2
"410165 Arapuã";1
"410170 Araruna";1
"410180 Araucária";31
"410190 Assaí";1
"410200 Assis Chateaubriand";7
"410230 Balsa Nova";1
"410240 Bandeirantes";9
"410250 Barbosa Ferraz";2
"410270 Barra do Jacaré";1
"410260 Barracão";1
"410280 Bela Vista do Paraíso";2
"410290 Bituruna";5
"410302 Boa Esperança do Iguaçu";1
"410304 Boa Ventura de São Roque";2
"410310 Bocaiúva do Sul";5
"410315 Bom Jesus do Sul";2
"410320 Bom Sucesso";3
"410322 Bom Sucesso do Sul";1
"410330 Borrazópolis";1
"410335 Braganey";1
"410345 Cafelândia";1
"410350 Califórnia";1
"410360 Cambará";1
"410370 Cambé";15
"410380 Cambira";2
"410390 Campina da Lagoa";6
"410400 Campina Grande do Sul";12
"410420 Campo Largo";25
"410425 Campo Magro";6
"410430 Campo Mourão";29
"410440 Cândido de Abreu";2
"410442 Candói";3
"410445 Cantagalo";3
"410450 Capanema";4
"410460 Capitão Leônidas Marques";2
"410465 Carambeí";1
"410480 Cascavel";66
"410490 Castro";5
"410500 Catanduvas";1
"410510 Centenário do Sul";2
"410520 Cerro Azul";1
"410530 Céu Azul";1
"410550 Cianorte";6
"410560 Cidade Gaúcha";3
"410570 Clevelândia";3
"410580 Colombo";46
"410590 Colorado";4
"410600 Congonhinhas";1
"410610 Conselheiro Mairinck";3
"410620 Contenda";5
"410630 Corbélia";2
"410640 Cornélio Procópio";7
"410645 Coronel Domingos Soares";1
"410650 Coronel Vivida";3
"410680 Cruz Machado";3
"410657 Cruzeiro do Iguaçu";1
"410660 Cruzeiro do Oeste";4
"410685 Cruzmaltina";1
"410690 Curitiba";265
"410700 Curiúva";4
"410715 Diamante D'Oeste";2
"410720 Dois Vizinhos";5
"410725 Douradina";3
"410740 Enéas Marques";1
"410750 Engenheiro Beltrão";2
"410753 Entre Rios do Oeste";1
"410752 Esperança Nova";1
"410754 Espigão Alto do Iguaçu";3
"410760 Faxinal";2
"410765 Fazenda Rio Grande";41
"410785 Flor da Serra do Sul";1
"410800 Florestópolis";3
"410830 Foz do Iguaçu";90
"410845 Foz do Jordão";1
"410832 Francisco Alves";1
"410840 Francisco Beltrão";14
"410850 General Carneiro";4
"410855 Godoy Moreira";1
"410860 Goioerê";9
"410865 Goioxim";4
"410880 Guaíra";11
"410890 Guairaçá";2
"410920 Guaraci";1
"410930 Guaraniaçu";5
"410940 Guarapuava";27
"410950 Guaraqueçaba";3
"410960 Guaratuba";19
"410970 Ibaiti";2
"410975 Ibema";2
"410980 Ibiporã";21
"410990 Icaraíma";3
"411000 Iguaraçu";2
"411007 Imbaú";4
"411010 Imbituva";4
"411020 Inácio Martins";2
"411030 Inajá";1
"411050 Ipiranga";1
"411060 Iporã";3
"411070 Irati";5
"411080 Iretama";1
"411095 Itaipulândia";4
"411100 Itambaracá";1
"411120 Itapejara d'Oeste";1
"411125 Itaperuçu";8
"411140 Ivaí";1
"411150 Ivaiporã";3
"411155 Ivaté";1
"411170 Jaboti";1
"411180 Jacarezinho";6
"411190 Jaguapitã";1
"411200 Jaguariaíva";8
"411210 Jandaia do Sul";4
"411220 Janiópolis";2
"411230 Japira";1
"411260 Jardim Olinda";1
"411270 Jataizinho";5
"411275 Jesuítas";1
"411295 Juranda";4
"411320 Lapa";4
"411325 Laranjal";4
"411330 Laranjeiras do Sul";11
"411345 Lindoeste";2
"411350 Loanda";4
"411370 Londrina";96
"411380 Lupionópolis";1
"411390 Mallet";2
"411410 Mandaguaçu";2
"411420 Mandaguari";2
"411430 Mandirituba";4
"411440 Mangueirinha";1
"411450 Manoel Ribas";1
"411460 Marechal Cândido Rondon";12
"411470 Maria Helena";1
"411480 Marialva";5
"411500 Marilena";2
"411510 Mariluz";5
"411520 Maringá";38
"411540 Marmeleiro";1
"411550 Marumbi";2
"411560 Matelândia";3
"411570 Matinhos";17
"411573 Mato Rico";2
"411575 Mauá da Serra";2
"411580 Medianeira";12
"411590 Mirador";1
"411605 Missal";1
"411610 Moreira Sales";6
"411620 Morretes";3
"411640 Nossa Senhora das Graças";2
"411650 Nova Aliança do Ivaí";1
"411660 Nova América da Colina";1
"411670 Nova Aurora";1
"411690 Nova Esperança";4
"411700 Nova Fátima";2
"411705 Nova Laranjeiras";2
"411710 Nova Londrina";2
"411720 Nova Olímpia";2
"411725 Nova Prata do Iguaçu";1
"411721 Nova Santa Bárbara";1
"411722 Nova Santa Rosa";1
"411727 Nova Tebas";2
"411730 Ortigueira";1
"411745 Ouro Verde do Oeste";1
"411750 Paiçandu";8
"411760 Palmas";11
"411770 Palmeira";3
"411780 Palmital";2
"411790 Palotina";3
"411800 Paraíso do Norte";4
"411820 Paranaguá";73
"411840 Paranavaí";19
"411850 Pato Branco";9
"411870 Paulo Frontin";1
"411880 Peabiru";3
"411885 Perobal";1
"411890 Pérola";3
"411915 Pinhais";29
"411925 Pinhal de São Bento";1
"411930 Pinhão";14
"411940 Piraí do Sul";5
"411950 Piraquara";42
"411960 Pitanga";5
"411970 Planaltina do Paraná";2
"411990 Ponta Grossa";50
"411995 Pontal do Paraná";12
"412000 Porecatu";8
"412020 Porto Rico";1
"412033 Prado Ferreira";1
"412060 Prudentópolis";10
"412080 Quatro Barras";1
"412090 Quedas do Iguaçu";11
"412100 Querência do Norte";2
"412125 Ramilândia";2
"412140 Realeza";3
"412150 Rebouças";2
"412170 Reserva";9
"412175 Reserva do Iguaçu";3
"412180 Ribeirão Claro";1
"412190 Ribeirão do Pinhal";6
"412200 Rio Azul";1
"412215 Rio Bonito do Iguaçu";9
"412220 Rio Branco do Sul";14
"412230 Rio Negro";3
"412240 Rolândia";9
"412250 Roncador";2
"412280 Salgado Filho";1
"412300 Salto do Lontra";3
"412320 Santa Cecília do Pavão";2
"412330 Santa Cruz de Monte Castelo";5
"412340 Santa Fé";3
"412350 Santa Helena";8
"412370 Santa Isabel do Ivaí";9
"412380 Santa Izabel do Oeste";1
"412385 Santa Maria do Oeste";1
"412390 Santa Mariana";3
"412395 Santa Mônica";1
"412402 Santa Tereza do Oeste";1
"412405 Santa Terezinha de Itaipu";4
"412400 Santana do Itararé";1
"412410 Santo Antônio da Platina";5
"412420 Santo Antônio do Caiuá";1
"412430 Santo Antônio do Paraíso";1
"412440 Santo Antônio do Sudoeste";3
"412460 São Carlos do Ivaí";1
"412470 São Jerônimo da Serra";5
"412480 São João";1
"412490 São João do Caiuá";2
"412500 São João do Ivaí";1
