"Município";"Óbitos p/Residênc"
"412540 São José da Boa Vista";1
"412545 São José das Palmeiras";2
"412550 São José dos Pinhais";48
"412560 São Mateus do Sul";3
"412570 São Miguel do Iguaçu";8
"412575 São Pedro do Iguaçu";2
"412580 São Pedro do Ivaí";3
"412590 São Pedro do Paraná";1
"412600 São Sebastião da Amoreira";3
"412620 Sapopema";4
"412625 Sarandi";31
"412627 Saudade do Iguaçu";2
"412630 Sengés";4
"412650 Sertanópolis";9
"412660 Siqueira Campos";1
"412667 Tamarana";4
"412670 Tamboara";1
"412680 Tapejara";8
"412690 Tapira";1
"412710 Telêmaco Borba";7
"412720 Terra Boa";7
"412730 Terra Rica";2
"412740 Terra Roxa";3
"412750 Tibagi";3
"412770 Toledo";24
"412780 Tomazina";1
"412785 Três Barras do Paraná";3
"412800 Ubiratã";1
"412810 Umuarama";24
"412820 União da Vitória";11
"412853 Ventania";4
"412855 Vera Cruz do Oeste";2
"412865 Virmond";1
"412870 Vitorino";1
"410000 Município ignorado - PR";15
"420005 Abdon Batista";1
"420010 Abelardo Luz";3
"420020 Agrolândia";3
"420050 Águas de Chapecó";1
"420055 Águas Frias";1
"420070 Alfredo Wagner";1
"420130 Araquari";10
"420140 Araranguá";13
"420170 Ascurra";1
"420195 Balneário Arroio do Silva";8
"420205 Balneário Barra do Sul";2
"420200 Balneário Camboriú";14
"420207 Balneário Gaivota";3
"421280 Balneário Piçarras";2
"422000 Balneário Rincão";1
"420210 Barra Velha";8
"420215 Belmonte";1
"420230 Biguaçu";11
"420240 Blumenau";26
"420250 Bom Jardim da Serra";1
"420253 Bom Jesus";1
"420260 Bom Retiro";3
"420245 Bombinhas";2
"420290 Brusque";4
"420300 Caçador";13
"420315 Calmon";2
"420320 Camboriú";14
"420330 Campo Alegre";1
"420340 Campo Belo do Sul";1
"420360 Campos Novos";5
"420370 Canelinha";1
"420380 Canoinhas";8
"420390 Capinzal";1
"420395 Capivari de Baixo";1
"420400 Catanduvas";2
"420410 Caxambu do Sul";1
"420420 Chapecó";33
"420425 Cocal do Sul";1
"420430 Concórdia";5
"420455 Correia Pinto";1
"420460 Criciúma";11
"420480 Curitibanos";5
"420490 Descanso";1
"420517 Entre Rios";1
"420520 Erval Velho";1
"420530 Faxinal dos Guedes";1
"420540 Florianópolis";56
"420545 Forquilhinha";2
"420550 Fraiburgo";6
"420570 Garopaba";4
"420580 Garuva";3
"420590 Gaspar";8
"420610 Grão Pará";1
"420650 Guaramirim";2
"420665 Guatambú";1
"420690 Ibirama";1
"420700 Içara";1
"420720 Imaruí";3
"420730 Imbituba";3
"420740 Imbuia";1
"420750 Indaial";7
"420768 Ipuaçu";3
"420780 Irani";1
"420790 Irineópolis";1
"420810 Itaiópolis";4
"420820 Itajaí";24
"420830 Itapema";14
"420840 Itapiranga";1
"420845 Itapoá";9
"420850 Ituporanga";5
"420880 Jaguaruna";4
"420890 Jaraguá do Sul";3
"420910 Joinville";69
"420930 Lages";11
"420940 Laguna";2
"420960 Lauro Muller";2
"420970 Lebon Régis";7
"421000 Luiz Alves";1
"421003 Luzerna";1
"421010 Mafra";7
"421040 Maracajá";1
"421060 Massaranduba";1
"421100 Mondaí";3
"421110 Monte Castelo";1
"421130 Navegantes";14
"421145 Nova Itaberaba";3
"421170 Orleans";1
"421175 Otacílio Costa";1
"421190 Palhoça";13
"421210 Palmitos";1
"421220 Papanduva";2
"421225 Passo de Torres";1
"421227 Passos Maia";1
"421250 Penha";2
"421290 Pinhalzinho";1
"421310 Piratuba";1
"421320 Pomerode";1
"421330 Ponte Alta";3
"421350 Porto Belo";3
"421360 Porto União";1
"421370 Pouso Redondo";1
"421400 Presidente Getúlio";1
"421480 Rio do Sul";5
"421500 Rio Negrinho";7
"421505 Rio Rufino";1
"421510 Rodeio";2
"421550 Santa Cecília";3
"421565 Santa Rosa do Sul";2
"421567 Santa Terezinha";3
"421570 Santo Amaro da Imperatriz";2
"421580 São Bento do Sul";2
"421590 São Bonifácio";1
"421610 São Domingos";1
"421620 São Francisco do Sul";12
"421630 São João Batista";5
"421650 São Joaquim";7
"421660 São José";17
"421680 São José do Cerrito";1
"421720 São Miguel do Oeste";1
"421725 São Pedro de Alcântara";1
"421730 Saudades";2
"421750 Seara";1
"421760 Siderópolis";1
"421770 Sombrio";5
"421800 Tijucas";12
"421825 Timbó Grande";3
"421830 Três Barras";4
"421835 Treviso";1
"421870 Tubarão";2
"421880 Turvo";1
"421890 Urubici";1
"421900 Urussanga";3
"421920 Vidal Ramos";2
"421930 Videira";5
"421935 Vitor Meireles";1
"421950 Xanxerê";13
"421970 Xaxim";4
"420000 Município ignorado - SC";3
"430003 Aceguá";1
"430010 Agudo";2
"430030 Alecrim";2
"430040 Alegrete";11
"430047 Almirante Tamandaré do Sul";1
"430050 Alpestre";1
"430060 Alvorada";124
"430063 Amaral Ferrador";7
"430064 Ametista do Sul";1
"430080 Antônio Prado";2
"430087 Araricá";2
"430090 Aratiba";1
"430100 Arroio do Meio";1
"430105 Arroio do Sal";2
"430120 Arroio do Tigre";4
"430110 Arroio dos Ratos";1
"430130 Arroio Grande";2
"430160 Bagé";12
"430163 Balneário Pinhal";2
"430170 Barão de Cotegipe";1
"430175 Barão do Triunfo";1
"430185 Barra do Guarita";1
"430190 Barra do Ribeiro";7
"430180 Barracão";2
"430200 Barros Cassal";3
"430210 Bento Gonçalves";29
"430222 Boa Vista do Cadeado";1
"430230 Bom Jesus";4
"430240 Bom Retiro do Sul";2
"430250 Bossoroca";1
"430265 Brochier";1
"430270 Butiá";9
"430280 Caçapava do Sul";5
"430290 Cacequi";1
"430300 Cachoeira do Sul";4
"430310 Cachoeirinha";25
"430320 Cacique Doble";1
"430350 Camaquã";11
"430370 Campina das Missões";1
"430390 Campo Bom";10
"430410 Campos Borges";2
"430420 Candelária";6
"430435 Candiota";1
"430440 Canela";12
"430450 Canguçu";7
"430460 Canoas";56
"430463 Capão da Canoa";6
"430466 Capão do Leão";7
"430468 Capela de Santana";4
"430470 Carazinho";20
"430490 Casca";3
"430500 Catuípe";1
"430510 Caxias do Sul";110
"430517 Cerro Grande do Sul";1
"430520 Cerro Largo";2
"430535 Charqueadas";3
"430545 Cidreira";8
"430550 Ciríaco";1
"430580 Constantina";3
"430587 Coronel Barros";1
"430590 Coronel Bicaco";2
"430600 Crissiumal";1
"430605 Cristal";2
"430607 Cristal do Sul";1
"430610 Cruz Alta";24
"430620 Cruzeiro do Sul";5
"430632 Derrubadas";2
"430637 Dilermando de Aguiar";1
"430645 Dois Lajeados";1
"430650 Dom Feliciano";4
"430660 Dom Pedrito";8
"430676 Eldorado do Sul";6
"430680 Encantado";4
"430690 Encruzilhada do Sul";6
"430695 Entre Rios do Sul";1
"430693 Entre-Ijuís";1
"430700 Erechim";19
"430720 Erval Grande";1
"430760 Estância Velha";7
"430770 Esteio";16
"430780 Estrela";7
"430781 Estrela Velha";1
"430790 Farroupilha";20
"430807 Fazenda Vilanova";1
"430810 Feliz";1
"430820 Flores da Cunha";7
"430830 Fontoura Xavier";5
"430850 Frederico Westphalen";6
"430860 Garibaldi";7
"430885 Gentil";1
"430890 Getúlio Vargas";2
"430910 Gramado";8
"430920 Gravataí";56
"430930 Guaíba";20
"430940 Guaporé";8
"430950 Guarani das Missões";1
"430955 Harmonia";1
"430957 Herveiras";1
"430960 Horizontina";1
"430965 Hulha Negra";2
"430975 Ibarama";1
"430980 Ibiaçá";1
"430990 Ibiraiaras";3
"431000 Ibirubá";3
"431010 Igrejinha";1
"431020 Ijuí";23
"431033 Imbé";7
"431040 Independência";1
"431050 Iraí";5
"431055 Itacurubi";1
"431057 Itapuca";1
"431060 Itaqui";4
"431070 Itatiba do Sul";1
"431080 Ivoti";1
"431085 Jaboticaba";3
"431100 Jaguarão";7
"431110 Jaguari";1
"431112 Jaquirana";2
"431120 Júlio de Castilhos";3
"431123 Lagoa Bonita do Sul";1
"431130 Lagoa Vermelha";11
"431125 Lagoão";2
"431140 Lajeado";19
"431150 Lavras do Sul";1
"431173 Mampituba";2
"431180 Marau";6
"431190 Marcelino Ramos";1
"431198 Mariana Pimentel";2
"431205 Marques de Souza";1
"431213 Mato Castelhano";1
"431225 Minas do Leão";4
"431238 Monte Belo do Sul";1
"431240 Montenegro";9
"431244 Morrinhos do Sul";1
"431250 Mostardas";4
"431260 Muçum";1
"431261 Muitos Capões";1
"431270 Nonoai";9
"431275 Nova Alvorada";2
"431290 Nova Bassano";1
"431306 Nova Hartz";2
"431320 Nova Petrópolis";3
"431330 Nova Prata";4
"431337 Nova Santa Rita";4
"431340 Novo Hamburgo";24
"431350 Osório";18
"431360 Paim Filho";1
"431365 Palmares do Sul";3
"431370 Palmeira das Missões";5
"431380 Palmitinho";1
"431390 Panambi";2
"431395 Pantano Grande";1
"431400 Paraí";1
"431403 Pareci Novo";1
"431405 Parobé";10
"431410 Passo Fundo";46
"431440 Pelotas";35
"431445 Pinhal";2
"431449 Pinheirinho do Vale";1
"431450 Pinheiro Machado";1
"431460 Piratini";5
"431470 Planalto";5
"431477 Pontão";1
"431480 Portão";9
"431490 Porto Alegre";311
"431500 Porto Lucena";1
"431515 Progresso";1
"431530 Quaraí";7
"431531 Quatro Irmãos";1
"431550 Restinga Seca";3
"431560 Rio Grande";51
"431570 Rio Pardo";13
"431580 Roca Sales";3
"431600 Rolante";2
"431630 Roque Gonzales";2
"431640 Rosário do Sul";4
"431642 Sagrada Família";1
"431645 Salto do Jacuí";4
"431660 Sananduva";2
"431710 Sant'Ana do Livramento";18
"431670 Santa Bárbara do Sul";1
"431680 Santa Cruz do Sul";27
"431690 Santa Maria";54
"431695 Santa Maria do Herval";1
"431720 Santa Rosa";10
"431730 Santa Vitória do Palmar";4
"431700 Santana da Boa Vista";1
"431740 Santiago";2
"431750 Santo Ângelo";12
"431760 Santo Antônio da Patrulha";5
"431770 Santo Antônio das Missões";1
"431780 Santo Augusto";2
"431800 São Borja";9
"431820 São Francisco de Paula";2
"431830 São Gabriel";5
"431840 São Jerônimo";3
"431850 São José do Norte";7
"431860 São José do Ouro";1
"431862 São José dos Ausentes";1
"431870 São Leopoldo";52
"431880 São Lourenço do Sul";2
"431890 São Luiz Gonzaga";10
"431900 São Marcos";6
"431915 São Miguel das Missões";1
"431940 São Pedro do Sul";2
"431950 São Sebastião do Caí";4
"431960 São Sepé";4
"431971 São Valentim do Sul";1
"431980 São Vicente do Sul";1
"431990 Sapiranga";15
"432000 Sapucaia do Sul";25
"432010 Sarandi";2
"432020 Seberi";3
"432023 Sede Nova";1
"432026 Segredo";4
"432040 Serafina Corrêa";2
"432055 Sertão Santana";1
"432067 Sinimbu";3
"432070 Sobradinho";2
"432080 Soledade";7
"432090 Tapejara";3
"432110 Tapes";7
"432120 Taquara";6
"432130 Taquari";3
"432132 Taquaruçu do Sul";1
"432135 Tavares";5
"432140 Tenente Portela";2
"432143 Terra de Areia";1
"432145 Teutônia";3
"432147 Tiradentes do Sul";2
"432150 Torres";5
"432160 Tramandaí";10
"432166 Três Cachoeiras";1
"432170 Três Coroas";3
"432180 Três de Maio";2
"432185 Três Palmeiras";1
"432190 Três Passos";4
"432195 Trindade do Sul";3
"432200 Triunfo";8
"432210 Tucunduva";1
"432220 Tupanciretã";2
"432240 Uruguaiana";20
"432250 Vacaria";14
"432253 Vale do Sol";1
"432252 Vale Verde";1
"432260 Venâncio Aires";12
"432270 Vera Cruz";3
"432280 Veranópolis";3
"432300 Viamão";80
"432350 Vista Alegre";2
"432375 Vitória das Missões";1
"432380 Xangri-lá";3
"500020 Água Clara";3
"500060 Amambai";10
"500070 Anastácio";3
"500080 Anaurilândia";1
"500085 Angélica";2
"500090 Antônio João";6
"500100 Aparecida do Taboado";8
"500110 Aquidauana";8
"500124 Aral Moreira";1
"500150 Bandeirantes";1
"500190 Bataguassu";2
"500210 Bela Vista";6
"500215 Bodoquena";3
"500220 Bonito";1
"500230 Brasilândia";4
"500240 Caarapó";8
"500260 Camapuã";4
"500270 Campo Grande";139
"500290 Cassilândia";2
"500295 Chapadão do Sul";5
"500310 Corguinho";1
"500315 Coronel Sapucaia";17
"500320 Corumbá";20
"500325 Costa Rica";3
"500330 Coxim";8
"500345 Deodápolis";3
"500348 Dois Irmãos do Buriti";4
"500370 Dourados";45
"500375 Eldorado";1
"500380 Fátima do Sul";1
"500390 Figueirão";1
"500430 Iguatemi";3
"500440 Inocência";2
"500450 Itaporã";2
"500460 Itaquiraí";6
"500470 Ivinhema";3
"500480 Japorã";2
"500500 Jardim";3
"500515 Juti";3
"500520 Ladário";6
"500540 Maracaju";6
"500560 Miranda";1
"500568 Mundo Novo";5
"500570 Naviraí";8
"500580 Nioaque";1
"500600 Nova Alvorada do Sul";3
"500620 Nova Andradina";3
"500625 Novo Horizonte do Sul";1
"500630 Paranaíba";5
"500635 Paranhos";3
"500660 Ponta Porã";39
"500690 Porto Murtinho";2
"500720 Rio Brilhante";7
"500740 Rio Verde de Mato Grosso";3
"500769 São Gabriel do Oeste";4
"500780 Selvíria";1
"500770 Sete Quedas";1
"500790 Sidrolândia";6
"500793 Sonora";4
"500795 Tacuru";4
"500797 Taquarussu";1
"500800 Terenos";2
"500830 Três Lagoas";16
"510010 Acorizal";1
"510020 Água Boa";2
"510025 Alta Floresta";12
"510030 Alto Araguaia";4
"510040 Alto Garças";1
"510050 Alto Paraguai";11
"510060 Alto Taquari";4
"510080 Apiacás";1
"510100 Araguaiana";1
"510125 Araputanga";5
"510130 Arenápolis";11
"510140 Aripuanã";20
"510170 Barra do Bugres";3
"510180 Barra do Garças";7
"510185 Bom Jesus do Araguaia";3
"510190 Brasnorte";11
"510250 Cáceres";22
"510260 Campinápolis";1
"510263 Campo Novo do Parecis";10
"510267 Campo Verde";4
"510268 Campos de Júlio";2
"510269 Canabrava do Norte";4
"510270 Canarana";7
"510279 Carlinda";5
"510285 Castanheira";5
"510300 Chapada dos Guimarães";2
"510305 Cláudia";3
"510310 Cocalinho";4
"510320 Colíder";13
"510325 Colniza";27
"510330 Comodoro";10
"510335 Confresa";11
"510337 Cotriguaçu";3
"510340 Cuiabá";120
"510350 Diamantino";18
"510360 Dom Aquino";1
"510370 Feliz Natal";2
"510385 Gaúcha do Norte";1
"510395 Glória D'Oeste";1
"510410 Guarantã do Norte";10
"510420 Guiratinga";2
"510450 Indiavaí";1
"510452 Ipiranga do Norte";2
"510454 Itanhangá";3
"510460 Itiquira";3
"510480 Jaciara";14
"510490 Jangada";2
"510510 Juara";8
"510515 Juína";13
"510517 Juruena";4
"510520 Juscimeira";2
"510525 Lucas do Rio Verde";22
"510530 Luciara";1
"510558 Marcelândia";1
"510560 Matupá";4
"510562 Mirassol d'Oeste";7
"510590 Nobres";8
"510600 Nortelândia";1
"510610 Nossa Senhora do Livramento";1
"510615 Nova Bandeirantes";4
"510620 Nova Brasilândia";2
"510621 Nova Canaã do Norte";5
"510880 Nova Guarita";2
"510618 Nova Lacerda";2
"510890 Nova Maringá";5
"510895 Nova Monte Verde";4
"510622 Nova Mutum";18
"510623 Nova Olímpia";7
"510624 Nova Ubiratã";6
"510625 Nova Xavantina";8
"510627 Novo Horizonte do Norte";1
"510626 Novo Mundo";2
"510629 Paranaíta";1
"510630 Paranatinga";7
"510637 Pedra Preta";8
"510642 Peixoto de Azevedo";29
"510645 Planalto da Serra";1
"510650 Poconé";9
"510665 Pontal do Araguaia";1
"510675 Pontes e Lacerda";26
"510677 Porto Alegre do Norte";3
"510680 Porto dos Gaúchos";1
"510682 Porto Esperidião";5
"510685 Porto Estrela";1
"510704 Primavera do Leste";28
"510706 Querência";8
"510715 Reserva do Cabaçal";1
"510718 Ribeirão Cascalheira";5
"510720 Rio Branco";1
"510760 Rondonópolis";52
"510770 Rosário Oeste";2
"510774 Santa Cruz do Xingu";1
"510777 Santa Terezinha";2
"510726 Santo Afonso";2
"510779 Santo Antônio do Leste";1
"510780 Santo Antônio do Leverger";3
"510785 São Félix do Araguaia";3
"510730 São José do Rio Claro";16
"510735 São José do Xingu";2
"510710 São José dos Quatro Marcos";4
"510740 São Pedro da Cipa";1
"510787 Sapezal";8
"510788 Serra Nova Dourada";1
"510790 Sinop";42
"510792 Sorriso";35
"510794 Tabaporã";2
"510795 Tangará da Serra";15
"510800 Tapurah";5
"510805 Terra Nova do Norte";2
"510820 Torixoréu";1
"510830 União do Sul";3
"510840 Várzea Grande";55
"510850 Vera";2
"510550 Vila Bela da Santíssima Trindade";6
"510860 Vila Rica";10
"510000 Município ignorado - MT";4
"520005 Abadia de Goiás";6
"520010 Abadiânia";4
"520013 Acreúna";6
"520015 Adelândia";2
"520017 Água Fria de Goiás";1
"520025 Águas Lindas de Goiás";49
"520030 Alexânia";4
"520050 Aloândia";1
"520055 Alto Horizonte";3
"520060 Alto Paraíso de Goiás";3
"520080 Alvorada do Norte";2
"520082 Amaralina";1
"520085 Americano do Brasil";1
"520110 Anápolis";85
"520130 Anicuns";4
"520140 Aparecida de Goiânia";195
"520170 Aragarças";7
"520180 Aragoiânia";2
"520235 Arenópolis";1
"520250 Aruanã";5
"520310 Baliza";2
"520330 Bela Vista de Goiás";11
"520340 Bom Jardim de Goiás";1
"520350 Bom Jesus de Goiás";15
"520355 Bonfinópolis";6
"520357 Bonópolis";1
"520360 Brazabrantes";2
"520380 Britânia";3
"520390 Buriti Alegre";3
"520393 Buriti de Goiás";2
"520396 Buritinópolis";2
"520400 Cabeceiras";4
"520425 Cachoeira Dourada";1
"520430 Caçu";1
"520440 Caiapônia";7
"520450 Caldas Novas";35
"520455 Caldazinha";1
"520460 Campestre de Goiás";1
"520465 Campinaçu";1
"520470 Campinorte";4
"520480 Campo Alegre de Goiás";2
"520485 Campo Limpo de Goiás";4
"520490 Campos Belos";6
"520495 Campos Verdes";2
"520500 Carmo do Rio Verde";6
"520510 Catalão";12
"520540 Ceres";2
"520545 Cezarina";3
"520547 Chapadão do Céu";3
"520549 Cidade Ocidental";30
"520551 Cocalzinho de Goiás";7
"520552 Colinas do Sul";1
"520580 Corumbá de Goiás";2
"520590 Corumbaíba";4
"520620 Cristalina";25
"520630 Cristianópolis";2
"520640 Crixás";4
"520660 Cumari";2
"520680 Damolândia";1
"520710 Diorama";1
"520725 Doverlândia";2
"520740 Edéia";5
"520750 Estrela do Norte";1
"520753 Faina";2
"520780 Firminópolis";2
"520790 Flores de Goiás";4
"520800 Formosa";49
"520815 Gameleira de Goiás";1
"520840 Goianápolis";5
"520860 Goianésia";13
"520870 Goiânia";381
"520880 Goianira";21
"520890 Goiás";2
"520910 Goiatuba";6
"520915 Gouvelândia";2
"520920 Guapó";3
"520940 Guarani de Goiás";1
"520970 Hidrolândia";12
"520980 Hidrolina";1
"520990 Iaciara";4
"520993 Inaciolândia";2
"520995 Indiara";4
"521000 Inhumas";16
"521010 Ipameri";8
"521020 Iporá";5
"521040 Itaberaí";13
"521056 Itaguari";1
"521060 Itaguaru";1
"521090 Itapaci";6
"521100 Itapirapuã";4
"521120 Itapuranga";6
"521130 Itarumã";2
"521150 Itumbiara";35
"521170 Jandaia";1
"521180 Jaraguá";23
"521190 Jataí";20
"521210 Joviânia";2
"521220 Jussara";3
"521230 Leopoldo de Bulhões";3
"521250 Luziânia";83
"521260 Mairipotaba";1
"521270 Mambaí";3
"521280 Mara Rosa";4
"521290 Marzagão";2
"521300 Maurilândia";5
"521308 Minaçu";4
"521310 Mineiros";13
"521370 Montes Claros de Goiás";2
"521375 Montividiu";5
"521380 Morrinhos";9
"521400 Mozarlândia";11
"521405 Mundo Novo";1
"521410 Mutunópolis";1
"521440 Nazário";5
"521450 Nerópolis";16
"521460 Niquelândia";12
"521483 Nova Crixás";7
"521486 Nova Glória";4
"521490 Nova Roma";2
"521500 Nova Veneza";1
"521520 Novo Brasil";1
"521523 Novo Gama";39
"521525 Novo Planalto";1
"521530 Orizona";1
"521540 Ouro Verde de Goiás";2
"521560 Padre Bernardo";8
"521570 Palmeiras de Goiás";6
"521600 Panamá";1
"521630 Paranaiguara";3
"521640 Paraúna";5
"521645 Perolândia";2
"521690 Pilar de Goiás";1
"521710 Piracanjuba";12
"521730 Pirenópolis";12
"521740 Pires do Rio";7
"521760 Planaltina";38
"521770 Pontalina";8
"521800 Porangatu";8
"521805 Porteirão";1
"521810 Portelândia";3
"521830 Posse";6
"521839 Professor Jamil";2
"521850 Quirinópolis";9
"521860 Rialma";7
"521870 Rianápolis";3
"521880 Rio Verde";38
"521890 Rubiataba";2
"521910 Santa Bárbara de Goiás";3
"521925 Santa Fé de Goiás";1
"521930 Santa Helena de Goiás";5
"521940 Santa Rita do Araguaia";1
"521970 Santa Terezinha de Goiás";2
"521973 Santo Antônio de Goiás";1
"521975 Santo Antônio do Descoberto";30
"521990 São Francisco de Goiás";1
"522000 São João d'Aliança";3
"522005 São João da Paraúna";1
"522010 São Luís de Montes Belos";17
"522015 São Luíz do Norte";1
"522020 São Miguel do Araguaia";6
"522026 São Miguel do Passa Quatro";6
"522028 São Patrício";2
"522040 São Simão";2
"522045 Senador Canedo";53
"522060 Silvânia";5
"522100 Taquaral de Goiás";1
"522130 Três Ranchos";2
"522140 Trindade";66
"522145 Trombas";1
"522150 Turvânia";1
"522155 Turvelândia";1
"522157 Uirapuru";1
"522160 Uruaçu";10
"522170 Uruana";7
"522185 Valparaíso de Goiás";51
"522190 Varjão";3
"522200 Vianópolis";2
"522205 Vicentinópolis";2
"522220 Vila Boa";5
"520000 Município ignorado - GO";27
"530010 Brasília";442
"Total";47680
&